rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database
1,cellular protein metabolic process (GO:0044267),3.7322655355161068e-06,6.443319716448396,80.53180007460537,"['PSENEN', 'RPL41', 'IGFBP5', 'MRPS36', 'RPLP1', 'EEF1A2', 'ADPRH', 'RPL23A', 'SCG2', 'RPL9', 'RPS24']",0.0030977803944783684,GO_Biological_Process_2021
2,peptide biosynthetic process (GO:0043043),1.0611726138421878e-05,10.372393098274568,118.80073260466799,"['RPL41', 'MRPS36', 'RPLP1', 'EEF1A2', 'RPL23A', 'RPL9', 'RPS24']",0.00440386634744508,GO_Biological_Process_2021
3,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),6.275908057536935e-05,13.25,128.20974646076138,"['RPL41', 'RPLP1', 'RPL23A', 'RPL9', 'RPS24']",0.0106858171965906,GO_Biological_Process_2021
4,translation (GO:0006412),6.327715276732217e-05,7.746320638130547,74.89132126038336,"['RPL41', 'MRPS36', 'RPLP1', 'EEF1A2', 'RPL23A', 'RPL9', 'RPS24']",0.0106858171965906,GO_Biological_Process_2021
5,cytoplasmic translation (GO:0002181),7.340560368323766e-05,12.796358471074381,121.81506602218981,"['RPL41', 'RPLP1', 'RPL23A', 'RPL9', 'RPS24']",0.0106858171965906,GO_Biological_Process_2021
6,cotranslational protein targeting to membrane (GO:0006613),7.724687130065493e-05,12.65194075587334,119.79495347623703,"['RPL41', 'RPLP1', 'RPL23A', 'RPL9', 'RPS24']",0.0106858171965906,GO_Biological_Process_2021
7,protein targeting to ER (GO:0045047),0.00011921251974140003,11.48480983302412,103.7606948160494,"['RPL41', 'RPLP1', 'RPL23A', 'RPL9', 'RPS24']",0.014135198769337432,GO_Biological_Process_2021
8,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.00018429823367466258,10.416140572390573,89.56792694408378,"['RPL41', 'RPLP1', 'RPL23A', 'RPL9', 'RPS24']",0.01912094174374624,GO_Biological_Process_2021
9,regulation of sodium ion transmembrane transport (GO:1902305),0.00029308164903615815,26.509333333333334,215.6549992563833,"['FXYD1', 'FXYD6', 'SCN2B']",0.02702864096666792,GO_Biological_Process_2021
10,ncRNA processing (GO:0034470),0.0003527273023004173,6.971529619805482,55.422372935653144,"['RPL41', 'POP7', 'RPLP1', 'RPL23A', 'RPL9', 'RPS24']",0.029276366090934633,GO_Biological_Process_2021
11,cellular macromolecule biosynthetic process (GO:0034645),0.000657431093311403,5.196576016968412,38.07619901454316,"['RPL41', 'MRPS36', 'RPLP1', 'EEF1A2', 'RPL23A', 'RPL9', 'RPS24']",0.04960616431349677,GO_Biological_Process_2021
