path_name,adj_p_val,cluster
Glutaminergic Neurons,1.3016368365105516e-22,C1
Neurons,1.3016368365105516e-22,C1
Purkinje Fiber Cells,1.4854357960264762e-20,C1
Beta Cells,1.2671038819581914e-18,C1
Chromaffin Cells,1.0711028188066986e-17,C1
Photoreceptor Cells,2.830491758208109e-17,C1
Pyramidal Cells,2.830491758208109e-17,C1
Anterior Pituitary Gland Cells,3.9508821785564894e-17,C1
Neuroendocrine Cells,1.4790578169398057e-16,C1
Purkinje Neurons,6.979131620707758e-16,C1
Immature Neurons,8.450260821471506e-16,C1
Trigeminal Neurons,3.643438470468431e-14,C1
Interneurons,3.643438470468431e-14,C1
Cajal-Retzius Cells,6.952603774799707e-14,C1
Enteric Neurons,3.7641750557205057e-13,C1
GABAergic Neurons,2.2868673550643535e-12,C1
Taste Receptor Cells,2.8009386103150747e-12,C1
Delta Cells,1.8327168514269528e-11,C1
Bergmann Glia,1.9418401482557905e-11,C1
Retinal Ganglion Cells,3.722872343636921e-11,C1
Enteroendocrine Cells,4.785746181105004e-10,C1
Gamma (PP) Cells,2.2772444308550816e-08,C1
Radial Glia Cells,7.01114857653804e-08,C1
Dopaminergic Neurons,1.0540947070420415e-07,C1
Retinal Progenitor Cells,6.116907305391773e-06,C1
Alpha Cells,2.9156294712422696e-05,C1
Tanycytes,8.936091685769941e-05,C1
Oligodendrocyte Progenitor Cells,0.00010887692691693307,C1
Neuroblasts,0.0003150117005124518,C1
Astrocytes,0.0004405116199398852,C1
Glycinergic Neurons,0.0013248198719391004,C1
Pinealocytes,0.001836812450931528,C1
Enterochromaffin Cells,0.0019632196621709288,C1
Olfactory Epithelial Cells,0.0048305674860945665,C1
Oxyphil Cells,0.0340542359540456,C1
His Bundle Cells,0.03803748215024603,C1
Neural Stem/Precursor Cells,0.040455891611246374,C1
Cholinergic Neurons,0.04111841242741972,C1
Epiblast Cells,0.04972591008494476,C1
Parietal Cells,0.0514053607040361,C1
Glomus Cells,0.0766589910922326,C1
Schwann Cells,0.09639322240829712,C1
Parathyroid Chief Cells,0.17000118596407157,C1
Satellite Glial Cells,0.19094165607850502,C1
Peri-islet Schwann Cells,0.19094165607850502,C1
Meningeal Cells,0.19094165607850502,C1
Intercalated Cells,0.1978333713349129,C1
M?ller Cells,0.307962215488661,C1
Cardiomyocytes,0.4160405262659344,C1
Osteocytes,0.4160405262659344,C1
Oligodendrocytes,0.41842307146420815,C1
Kidney Progenitor Cells,0.43779235961455104,C1
Adrenergic Neurons,0.43779235961455104,C1
Crypt Cells,0.44908085888764526,C1
Enteric Glia Cells,0.44908085888764526,C1
Pancreatic Progenitor Cells,0.45703747668792677,C1
Basophils,0.718523505494002,C1
Enterocytes,0.8013380868495964,C1
Hemangioblasts,0.8013380868495964,C1
Pulmonary Vascular Smooth Muscle Cells,0.8013380868495964,C1
Myofibroblasts,0.8013380868495964,C1
Vascular Smooth Muscle Cells,0.8013380868495964,C1
Noradrenergic Neurons,0.8013380868495964,C1
Ionocytes,0.8013380868495964,C1
Motor Neurons,0.8013380868495964,C1
Granulosa Cells,0.8013380868495964,C1
Cardiac Stem And Precursor Cells,0.8013380868495964,C1
Endothelial Cells (Blood Brain Barrier),0.8013380868495964,C1
Mast Cells,0.8013380868495964,C1
Choroid Plexus Cells,0.8013380868495964,C1
Myoblasts,0.8114659486889039,C1
Hepatic Stellate Cells,0.8114659486889039,C1
Tuft Cells,0.8114659486889039,C1
Distal Tubule Cells,0.8114659486889039,C1
Epsilon Cells,0.8114659486889039,C1
Osteoclasts,0.8164034286242172,C1
Plasmacytoid Dendritic Cells,0.8203088125401056,C1
Myocytes,0.8380060827655745,C1
Smooth Muscle Cells,0.8390746574530121,C1
Embryonic Stem Cells,0.8411853418474365,C1
Podocytes,0.8439859992638473,C1
Oligodendrocytes,3.651327164323941e-52,C2
Schwann Cells,5.156655584388398e-10,C2
Satellite Glial Cells,8.610855945064272e-05,C2
Enteric Glia Cells,0.0029997818749739266,C2
Parietal Cells,0.0029997818749739266,C2
M?ller Cells,0.013482852494697701,C2
Gastric Chief Cells,0.013482852494697701,C2
Taste Receptor Cells,0.015603502856661773,C2
Oligodendrocyte Progenitor Cells,0.021299369079802465,C2
Bergmann Glia,0.02526498068784469,C2
Mast Cells,0.027693712668330386,C2
Astrocytes,0.04190402966114285,C2
Spermatozoa,0.04190402966114285,C2
Peri-islet Schwann Cells,0.047398137067924784,C2
Myocytes,0.047398137067924784,C2
Melanocytes,0.08046390891412303,C2
Loop Of Henle Cells,0.1126297041642611,C2
Meningeal Cells,0.18635065862405178,C2
Endothelial Cells,0.2334467340972921,C2
Luminal Epithelial Cells,0.30789383443356494,C2
Epithelial Cells,0.3838714803796807,C2
His Bundle Cells,0.3879674973698665,C2
Pulmonary Vascular Smooth Muscle Cells,0.3879674973698665,C2
Myofibroblasts,0.3879674973698665,C2
Airway Epithelial Cells,0.398820900400231,C2
Smooth Muscle Cells,0.4079574032641789,C2
Crypt Cells,0.42900854490601764,C2
Podocytes,0.44724203185836287,C2
Airway Goblet Cells,0.44724203185836287,C2
Peritubular Myoid Cells,0.44724203185836287,C2
Transient Cells,0.44724203185836287,C2
Tanycytes,0.44724203185836287,C2
Myoblasts,0.46613670540407437,C2
Glomus Cells,0.46613670540407437,C2
Pyramidal Cells,0.46613670540407437,C2
Ductal Cells,0.46613670540407437,C2
Enterocytes,0.46613670540407437,C2
Cholangiocytes,0.46613670540407437,C2
Principal Cells,0.46613670540407437,C2
Distal Tubule Cells,0.46613670540407437,C2
Platelets,0.4813290916098115,C2
Mesothelial Cells,0.4851085957679122,C2
Leydig Cells,0.4851085957679122,C2
Hepatocytes,0.4851085957679122,C2
Mesangial Cells,0.4851085957679122,C2
Pericytes,0.5090654042102956,C2
Purkinje Neurons,0.5090654042102956,C2
Proximal Tubule Cells,0.5559532919573699,C2
Cardiomyocytes,0.6085492016399666,C2
Trophoblast Progenitor Cells,0.637075258673703,C2
Vascular Smooth Muscle Cells,0.637075258673703,C2
Ionocytes,0.6428487964993231,C2
Enterochromaffin Cells,0.6428487964993231,C2
Pancreatic Stellate Cells,0.6428487964993231,C2
Endothelial Cells (Blood Brain Barrier),0.6428487964993231,C2
Hepatoblasts,0.6428487964993231,C2
Pancreatic Progenitor Cells,0.6428487964993231,C2
Radial Glia Cells,0.6428487964993231,C2
Chromaffin Cells,0.6782649735532099,C2
Neuroendocrine Cells,0.6782649735532099,C2
Adipocytes,0.6782649735532099,C2
Pulmonary Alveolar Type I Cells,0.7139465733725785,C2
Hepatic Stellate Cells,0.7139465733725785,C2
Alpha Cells,0.7288882153236654,C2
Epsilon Cells,0.7304224592647195,C2
Fibroblasts,0.733317851209867,C2
Osteoclasts,0.7453058351474718,C2
Chondrocytes,0.7462514268118974,C2
Photoreceptor Cells,0.752897623262851,C2
Neural Stem/Precursor Cells,0.75918488950254,C2
Osteoblasts,0.7595989588026273,C2
Sertoli Cells,0.7707227959156728,C2
Basophils,0.8173159306532484,C2
Cajal-Retzius Cells,0.8296517211529156,C2
Embryonic Stem Cells,0.8296517211529156,C2
B Cells,0.8322009632009647,C2
Endothelial Cells (Aorta),0.8322009632009647,C2
Macrophages,0.8322009632009647,C2
Airway Smooth Muscle Cells,0.8322009632009647,C2
Purkinje Fiber Cells,0.8322009632009647,C2
Juxtaglomerular Cells,0.8322009632009647,C2
Ciliated Cells,0.8322009632009647,C2
Parathyroid Chief Cells,0.8322009632009647,C2
Glutaminergic Neurons,0.8322009632009647,C2
Pinealocytes,0.8322009632009647,C2
Olfactory Epithelial Cells,0.8322009632009647,C2
Nuocytes,0.8322009632009647,C2
Merkel Cells,0.8322009632009647,C2
Motor Neurons,0.8322009632009647,C2
Granulosa Cells,0.8322009632009647,C2
Retinal Progenitor Cells,0.8322009632009647,C2
Cardiac Stem And Precursor Cells,0.8322009632009647,C2
Clara Cells,0.8322009632009647,C2
Foveolar Cells,0.8322009632009647,C2
Choroid Plexus Cells,0.8322009632009647,C2
Intercalated Cells,0.8322009632009647,C2
Natural Killer T Cells,0.8322009632009647,C2
Acinar Cells,0.8322009632009647,C2
Luteal Cells,0.8322009632009647,C2
Delta Cells,0.8322009632009647,C2
Mammary Epithelial Cells,0.8322009632009647,C2
Ependymal Cells,0.8322009632009647,C2
Immature Neurons,0.8322009632009647,C2
Enteroendocrine Cells,0.8322009632009647,C2
Satellite Cells,0.8322009632009647,C2
Trigeminal Neurons,0.8322009632009647,C2
Beta Cells,0.8322009632009647,C2
Gamma Delta T Cells,0.8322009632009647,C2
B Cells Memory,0.8322009632009647,C2
B Cells Naive,0.8322009632009647,C2
Neurons,0.8322009632009647,C2
NK Cells,0.8322009632009647,C2
Microglia,0.8322009632009647,C2
Plasma Cells,0.8412664184576463,C2
Hematopoietic Stem Cells,0.855958870501636,C2
Dendritic Cells,0.8809457900260969,C2
Germ Cells,0.9015690680150098,C2
Interneurons,0.9544511157249911,C2
Interneurons,5.388970289034424e-10,C3
Anterior Pituitary Gland Cells,5.4043808126470935e-08,C3
Pyramidal Cells,3.1501922508130634e-07,C3
Retinal Ganglion Cells,3.5339167959055467e-07,C3
Cajal-Retzius Cells,5.756171873736384e-07,C3
Dopaminergic Neurons,6.662919629697843e-07,C3
Glutaminergic Neurons,2.1611239987310345e-05,C3
Neurons,2.1611239987310345e-05,C3
Neuroendocrine Cells,5.850997249987212e-05,C3
Trigeminal Neurons,0.00018997642279230972,C3
Purkinje Fiber Cells,0.0008459037202045395,C3
Vascular Smooth Muscle Cells,0.0008459037202045395,C3
Beta Cells,0.0010585642210698368,C3
Photoreceptor Cells,0.00118760728833315,C3
GABAergic Neurons,0.0012128581878265775,C3
Bergmann Glia,0.002959045303962933,C3
Enteroendocrine Cells,0.0038025009814698714,C3
Purkinje Neurons,0.006845307577910177,C3
Enteric Neurons,0.009182779533966004,C3
Chromaffin Cells,0.009182779533966004,C3
Delta Cells,0.012559785633179549,C3
Alpha Cells,0.013841268278493721,C3
Immature Neurons,0.013841268278493721,C3
