path_name,overlapping_genes,adj_p_val
myelination (GO:0042552),"['GAL3ST1', 'MYRF', 'PLLP', 'PLP1', 'PMP22', 'MAL', 'MBP', 'ACSBG1', 'SOX10', 'HES5', 'BCAS1']",1.893385124091196e-07
central nervous system development (GO:0007417),"['GSN', 'MYRF', 'MOG', 'SYNJ2', 'SOX10', 'MEIS2', 'POU3F3', 'HAPLN2', 'NR4A2', 'BCAN', 'MEIS1', 'NFIB', 'ZIC1', 'MAL', 'SOX8', 'APOD', 'PHGDH', 'MBP', 'SOX6', 'DSCAML1', 'HES5']",6.019160479200266e-07
nervous system development (GO:0007399),"['LPAR1', 'PTN', 'HAPLN2', 'EDNRB', 'MOBP', 'ERBB3', 'ZIC1', 'HES1', 'SOX8', 'MBP', 'SOX6', 'HES5', 'GSN', 'MOG', 'SOX10', 'POU3F3', 'VEGFA', 'BCAN', 'ZEB2', 'GJB1', 'NINJ2', 'LHX1', 'PMP22', 'TYRO3', 'MAL', 'DSCAML1', 'FGF11']",6.019160479200266e-07
glial cell differentiation (GO:0010001),"['SOX2', 'MYRF', 'ERBB3', 'METRN', 'NFIB', 'SOX8', 'SOX10', 'HES5']",3.629622786461051e-06
regulation of oligodendrocyte differentiation (GO:0048713),"['NOTCH1', 'TMEM98', 'OPALIN', 'HES1', 'PTN', 'HES5']",9.503177786026328e-05
axon ensheathment in central nervous system (GO:0032291),"['MYRF', 'PLP1', 'SOX10', 'HES5']",0.0004561307424477839
negative regulation of oligodendrocyte differentiation (GO:0048715),"['NOTCH1', 'TMEM98', 'HES1', 'HES5']",0.0004561307424477839
negative regulation of glial cell differentiation (GO:0045686),"['NOTCH1', 'TMEM98', 'HES1', 'HES5']",0.001403057837264371
oligodendrocyte differentiation (GO:0048709),"['MYRF', 'SOX8', 'SOX6', 'SOX10', 'HES5']",0.0020034668710576663
central nervous system myelination (GO:0022010),"['MYRF', 'PLP1', 'SOX10', 'HES5']",0.0028707290825256385
"positive regulation of transcription, DNA-templated (GO:0045893)","['NFIX', 'NOTCH1', 'MYRF', 'EPAS1', 'LITAF', 'GLI3', 'EGFR', 'SOX2', 'SALL1', 'ZIC1', 'HES1', 'SOX8', 'HES5', 'IL33', 'TCF7L2', 'JUP', 'TFEB', 'MITF', 'ETV1', 'SOX10', 'MEIS2', 'ST18', 'POU3F3', 'RGMA', 'VEGFA', 'NR4A2', 'POMC', 'ZEB2', 'DAB2', 'MEIS1', 'NR4A3', 'NFIA', 'IRF3', 'NFIB', 'LHX1', 'PADI2', 'CREB5']",0.0032665212781435925
regulation of myelination (GO:0031641),"['NKX6-2', 'MYRF', 'TMEM98', 'PTN', 'HES5']",0.005921694166162662
cell-cell junction assembly (GO:0007043),"['CLDN11', 'GJA1', 'GJB1', 'JUP', 'CDH20', 'CD9', 'CDH19']",0.008526693328752518
regulation of pro-B cell differentiation (GO:2000973),"['NOTCH1', 'HES1', 'HES5']",0.008793812615176748
oligodendrocyte development (GO:0014003),"['MYRF', 'PLP1', 'SOX10', 'HES5']",0.009947293742372297
brain development (GO:0007420),"['MEIS1', 'NFIB', 'ZIC1', 'APOD', 'PHGDH', 'SYNJ2', 'SOX6', 'DSCAML1', 'MEIS2', 'HES5']",0.010888542890445814
positive regulation of transcription by RNA polymerase II (GO:0045944),"['NFIX', 'NOTCH1', 'EPAS1', 'LITAF', 'GLI3', 'EGFR', 'SOX2', 'SALL1', 'HES1', 'SOX8', 'IL33', 'TCF7L2', 'JUP', 'TFEB', 'MITF', 'ETV1', 'MEIS2', 'ST18', 'RGMA', 'VEGFA', 'NR4A2', 'POMC', 'ZEB2', 'DAB2', 'MEIS1', 'NR4A3', 'NFIA', 'IRF3', 'NFIB']",0.011836369075820615
vascular associated smooth muscle cell development (GO:0097084),"['NOTCH1', 'HES1', 'VEGFA']",0.011836369075820615
regulation of canonical Wnt signaling pathway (GO:0060828),"['TCF7L2', 'JUP', 'LRP4', 'GLI3', 'EGFR', 'NKD1', 'SOX2', 'ZEB2', 'DAB2', 'FRMD8', 'FAM53B', 'WLS', 'RNF220']",0.012421441275375793
negative regulation of transcription by RNA polymerase II (GO:0000122),"['IL33', 'TCF7L2', 'NFIX', 'NOTCH1', 'MITF', 'CXXC5', 'SOX10', 'MEIS2', 'GLI3', 'VEGFA', 'SOX2', 'NR4A2', 'ZEB2', 'DAB2', 'NR4A3', 'SALL1', 'EDNRB', 'IFI27', 'NFIB', 'ID3', 'HES1', 'SOX8', 'HES5']",0.02680563462574493
positive regulation of morphogenesis of an epithelium (GO:1905332),"['GJA1', 'LHX1', 'SOX8', 'VEGFA']",0.03182281078745982
apical protein localization (GO:0045176),"['ATP8B1', 'INSC', 'MAL']",0.03211024547565236
regulation of cell migration (GO:0030334),"['NTNG2', 'PDGFRA', 'CLIC4', 'NOTCH1', 'SEMA6D', 'MITF', 'PRR5L', 'VSIR', 'NKD1', 'EGFR', 'VEGFA', 'DAB2', 'ENPP2', 'PLXNB3', 'SPRY2', 'AMOTL2']",0.03694505707138699
peripheral nervous system development (GO:0007422),"['ERBB3', 'PMP22', 'SOX8', 'SOX10']",0.03694505707138699
homotypic cell-cell adhesion (GO:0034109),"['PDGFRA', 'MEGF10', 'CSRP1', 'TYRO3', 'PLPP3']",0.03694505707138699
enteric nervous system development (GO:0048484),"['EDNRB', 'SOX8', 'SOX10']",0.03694505707138699
regulation of astrocyte differentiation (GO:0048710),"['NOTCH1', 'HES1', 'HES5']",0.045234990050397494
positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190),"['LHX1', 'SOX8', 'VEGFA']",0.045234990050397494
negative regulation of hydrogen peroxide-induced cell death (GO:1903206),"['GPR37', 'NR4A3', 'GPR37L1']",0.05427779382369355
negative regulation of stem cell differentiation (GO:2000737),"['NOTCH1', 'HES1', 'HES5']",0.05427779382369355
axon guidance (GO:0007411),"['NOTCH1', 'UNC5B', 'NFIB', 'SEMA6D', 'LHX1', 'GAB1', 'PLXNB3', 'PRKCQ', 'DSCAML1', 'VEGFA']",0.06280435488798224
regulation of cell projection organization (GO:0031344),"['NTNG2', 'SPRY2', 'ERMN']",0.06404715702743626
"negative regulation of transcription, DNA-templated (GO:0045892)","['NFIX', 'NOTCH1', 'CXXC5', 'GLI3', 'SOX2', 'SALL1', 'EDNRB', 'HES1', 'SOX8', 'HES5', 'IL33', 'TCF7L2', 'NKX6-2', 'ATP8B1', 'MITF', 'SOX10', 'MEIS2', 'POU3F3', 'VEGFA', 'NR4A2', 'ZEB2', 'DAB2', 'NR4A3', 'IFI27', 'LHX1', 'ID3', 'CRYAB']",0.06426914801155746
regulation of branching involved in ureteric bud morphogenesis (GO:0090189),"['LHX1', 'SOX8', 'VEGFA']",0.07451702055589755
cellular response to vascular endothelial growth factor stimulus (GO:0035924),"['NOTCH1', 'GAB1', 'SPRY2', 'VEGFA']",0.08784942473618917
negative regulation of neurogenesis (GO:0050768),"['MAG', 'NOTCH1', 'LRP4', 'PTN']",0.09423155613516762
positive regulation of nucleic acid-templated transcription (GO:1903508),"['NOTCH1', 'MYRF', 'TFEB', 'MITF', 'SOX10', 'GLI3', 'EGFR', 'POU3F3', 'SOX2', 'SALL1', 'NFIB', 'LHX1', 'ZIC1', 'HES1', 'SOX8', 'HES5', 'CREB5']",0.09423155613516762
cell communication by electrical coupling involved in cardiac conduction (GO:0086064),"['GJA1', 'GJC3', 'ATP1A2']",0.09423155613516762
gliogenesis (GO:0042063),"['METRN', 'NFIB', 'CD9']",0.09423155613516762
regulation of ossification (GO:0030278),"['NOTCH1', 'S1PR1', 'LRP4', 'PTN']",0.09423155613516762
coronary artery morphogenesis (GO:0060982),"['NOTCH1', 'VEGFA']",0.09423155613516762
regulation of microvillus assembly (GO:0032534),"['ATP8B1', 'PLD1']",0.09423155613516762
positive regulation of myoblast proliferation (GO:2000288),"['MEGF10', 'MEIS2']",0.09423155613516762
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419),"['NOTCH1', 'VEGFA']",0.09423155613516762
positive regulation of cell population proliferation (GO:0008284),"['PDGFRA', 'TCF7L2', 'NOTCH1', 'MEGF10', 'PTN', 'MEIS2', 'EGFR', 'POU3F3', 'VEGFA', 'GJA1', 'MEIS1', 'NR4A3', 'ERBB3', 'HES1', 'SOX8', 'HES5']",0.0955432985872282
positive regulation of glial cell differentiation (GO:0045687),"['NOTCH1', 'HES1', 'PTN']",0.0955432985872282
negative regulation of cell differentiation (GO:0045596),"['SOX2', 'MEIS1', 'NOTCH1', 'SPRY2', 'SOX8', 'HES1', 'MEIS2', 'EGFR', 'HES5']",0.09728307167584678
connective tissue development (GO:0061448),"['COL11A2', 'SOX8', 'SOX6', 'HES5']",0.09728307167584678
positive regulation of cell migration (GO:0030335),"['PDGFRA', 'DOCK5', 'DAB2', 'NOTCH1', 'SEMA6D', 'GAB1', 'ENPP2', 'SPRY2', 'VSIR', 'EGFR', 'VEGFA']",0.10030979183872407
regulation of epithelial cell proliferation (GO:0050678),"['SOX2', 'TCF7L2', 'NR4A3', 'EGFR', 'ZFP36L1', 'VEGFA']",0.1043684323491517
cardiac ventricle development (GO:0003231),"['NOTCH1', 'SALL1', 'HES1']",0.1043684323491517
embryonic digestive tract development (GO:0048566),"['PDGFRA', 'SALL1', 'GLI3']",0.1043684323491517
regulation of keratinocyte apoptotic process (GO:1902172),"['GSN', 'ZFP36L1']",0.1043684323491517
regulation of nitric oxide mediated signal transduction (GO:0010749),"['EGFR', 'VEGFA']",0.1043684323491517
galactolipid biosynthetic process (GO:0019375),"['FA2H', 'GAL3ST1']",0.1043684323491517
galactosylceramide biosynthetic process (GO:0006682),"['FA2H', 'GAL3ST1']",0.1043684323491517
venous blood vessel morphogenesis (GO:0048845),"['NOTCH1', 'VEGFA']",0.1043684323491517
negative regulation of glial cell proliferation (GO:0060253),"['NOTCH1', 'HES1']",0.1043684323491517
"positive regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000096)","['DAB2', 'NKD1']",0.1043684323491517
regulation of nervous system development (GO:0051960),"['NKX6-2', 'HES1', 'PTN', 'HES5']",0.11261368870906512
autonomic nervous system development (GO:0048483),"['EDNRB', 'SOX8', 'SOX10']",0.11359699137051431
cell chemotaxis (GO:0060326),"['PDGFRA', 'LPAR1', 'PLXNB3', 'PRKCQ', 'VEGFA']",0.11534923431511736
positive regulation of intracellular signal transduction (GO:1902533),"['PDGFRA', 'TCF7L2', 'GPR37', 'UNC5B', 'LPAR1', 'GAB1', 'GPR37L1', 'CXXC5', 'LITAF', 'EGFR', 'VEGFA', 'SOX2', 'GJA1', 'ERBB3', 'TRIM13', 'SPRY2', 'WLS']",0.11534923431511736
regulation of platelet activation (GO:0010543),"['PDGFRA', 'PLA2G4A', 'PRKCQ']",0.11855031480782037
negative regulation of myeloid cell differentiation (GO:0045638),"['MEIS1', 'MEIS2', 'ZFP36L1']",0.11855031480782037
phosphatidylserine acyl-chain remodeling (GO:0036150),"['MBOAT1', 'PLA2G4A', 'PLAAT3']",0.11855031480782037
regulation of mesenchymal stem cell differentiation (GO:2000739),"['PDGFRA', 'SOX6']",0.11855031480782037
gap junction assembly (GO:0016264),"['GJA1', 'GJB1']",0.11855031480782037
glycosylceramide biosynthetic process (GO:0046476),"['FA2H', 'GAL3ST1']",0.11855031480782037
vascular wound healing (GO:0061042),"['MCAM', 'VEGFA']",0.11855031480782037
negative regulation of cardiocyte differentiation (GO:1905208),"['SOX6', 'EGFR']",0.11855031480782037
pituitary gland development (GO:0021983),"['SOX2', 'SALL1']",0.11855031480782037
negative regulation of neuron differentiation (GO:0045665),"['SOX2', 'HES1', 'HES5']",0.13257029635076148
positive regulation of developmental process (GO:0051094),"['PHLDB1', 'GJA1', 'LHX1', 'ENPP2', 'SOX8', 'PTN', 'SOX6', 'VEGFA']",0.13257029635076148
integrin-mediated signaling pathway (GO:0007229),"['DAB2', 'ITGB5', 'ITGA10', 'PTN', 'PLPP3']",0.13257029635076148
phospholipid metabolic process (GO:0006644),"['ENPP2', 'MBOAT1', 'PLA2G4A', 'PLAAT3', 'PLPP3']",0.13257029635076148
commissural neuron axon guidance (GO:0071679),"['NFIB', 'VEGFA']",0.13257029635076148
coronary vasculature morphogenesis (GO:0060977),"['NOTCH1', 'VEGFA']",0.13257029635076148
regulation of microvillus organization (GO:0032530),"['ATP8B1', 'PLD1']",0.13257029635076148
galactosylceramide metabolic process (GO:0006681),"['FA2H', 'GAL3ST1']",0.13257029635076148
negative regulation of response to reactive oxygen species (GO:1901032),"['GPR37', 'GPR37L1']",0.13257029635076148
positive regulation of astrocyte differentiation (GO:0048711),"['NOTCH1', 'HES1']",0.13257029635076148
positive regulation of cell migration by vascular endothelial growth factor signaling pathway (GO:0038089),"['GAB1', 'VEGFA']",0.13257029635076148
positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269),"['GSN', 'ST18']",0.13257029635076148
positive regulation of vascular associated smooth muscle cell migration (GO:1904754),"['DOCK5', 'NR4A3']",0.13257029635076148
positive regulation of multicellular organismal process (GO:0051240),"['IL33', 'GJA1', 'GATM', 'DAB2', 'EPAS1', 'LHX1', 'ABCA7', 'SOX8', 'OXT', 'PTN', 'SOX6', 'VEGFA']",0.13547814977322747
regulation of smooth muscle cell proliferation (GO:0048660),"['TCF7L2', 'NR4A3', 'APOD', 'HES5']",0.13547814977322747
regulation of cellular component movement (GO:0051270),"['ERBB3', 'CD9', 'EGFR', 'VEGFA']",0.14203950490874706
glial cell development (GO:0021782),"['MYRF', 'SOX10', 'HES5']",0.14203950490874706
phosphatidylethanolamine acyl-chain remodeling (GO:0036152),"['MBOAT1', 'PLA2G4A', 'PLAAT3']",0.14203950490874706
negative regulation of apoptotic process (GO:0043066),"['TNFAIP8', 'NOTCH1', 'UNC5B', 'EGFR', 'POU3F3', 'VEGFA', 'NR4A2', 'MAG', 'DAB2', 'ERBB3', 'TYRO3', 'SPRY2', 'SOX8', 'AVP', 'CRYAB']",0.14203950490874706
regulation of cytoskeleton organization (GO:0051493),"['PHLDB1', 'CLIC4', 'ARHGEF19', 'MAP6D1', 'TRIM36', 'SORBS3']",0.14245968847339266
regulation of axonogenesis (GO:0050770),"['MAG', 'METRN', 'PLXNB3', 'LRP4']",0.14604089903356865
negative regulation of signal transduction (GO:0009968),"['NR4A2', 'TSPAN15', 'ERBB3', 'TYRO3', 'SPRY2', 'PRKCQ', 'APOD', 'GLI3', 'EGFR', 'NKD1']",0.1469029971812867
regulation of glial cell proliferation (GO:0060251),"['NOTCH1', 'HES1']",0.1469029971812867
glomerular filtration (GO:0003094),"['MYO1E', 'MCAM']",0.1469029971812867
"regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)","['DAB2', 'NKD1']",0.1469029971812867
ameboidal-type cell migration (GO:0001667),"['SEMA6D', 'SOX8', 'AMOTL2', 'SOX10']",0.1469029971812867
cartilage development (GO:0051216),"['NFIB', 'COL11A2', 'SOX6', 'HES5']",0.1469029971812867
positive regulation of Wnt signaling pathway (GO:0030177),"['ZEB2', 'SALL1', 'JUP', 'FAM53B', 'EGFR', 'WLS', 'RNF220']",0.16039874621799702
positive regulation of MAPK cascade (GO:0043410),"['SOX2', 'PDGFRA', 'GPR37', 'NOTCH1', 'LPAR1', 'SPRY2', 'ABCA7', 'GPR37L1', 'EGFR', 'VEGFA']",0.16288885545999202
limb development (GO:0060173),"['SALL1', 'LRP4', 'GLI3']",0.16288885545999202
alanine transport (GO:0032328),"['SLC38A3', 'SLC7A10']",0.16288885545999202
cell differentiation involved in metanephros development (GO:0072202),"['SALL1', 'POU3F3']",0.16288885545999202
regulation of hydrogen peroxide-induced cell death (GO:1903205),"['GPR37', 'GPR37L1']",0.16288885545999202
renal filtration (GO:0097205),"['MYO1E', 'MCAM']",0.16288885545999202
myelin assembly (GO:0032288),"['PMP22', 'CD9']",0.16288885545999202
negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048),"['NOTCH1', 'VEGFA']",0.16288885545999202
phosphatidylcholine catabolic process (GO:0034638),"['ENPP2', 'PLA2G4A']",0.16288885545999202
